,COUNTY,STUDENTS_TESTED,EXAM_COUNT,EXAMS_3_OR_ABOVE,PERCENT_3_OR_ABOVE,Year,population,per_capita_income,closest_five_r1r2_avg,closest_five_public_avg,closest_five_private_nfp_avg,closest_five_landgrnt_avg,closest_five_stem_avg,closest_five_avg_enrollment_r1r2,closest_five_avg_enrollment_public,closest_five_avg_enrollment_private_nfp,closest_five_avg_enrollment_landgrnt,closest_five_avg_enrollment_stem
0,Adams,45,76,22,28.94736842105263,2018,20533,39048,195.93034483827273,90.3059683242695,101.06184967920498,223.09566341534696,171.5877411503718,27064.0,19895.2,2104.8,22515.6,18673.8
1,Ashland,30,40,25,62.5,2018,16013,38879,330.98578902119164,94.5946388743082,154.49318357066562,172.8514469913042,303.87840879144244,32411.8,4791.8,1589.6,13358.4,24446.6
2,Barron,132,196,101,51.53061224489796,2018,46385,47650,315.00157279089365,56.85004007741761,104.64589013973045,180.02326154741576,265.872638081901,33726.6,8040.4,2396.0,13358.4,24446.6
3,Bayfield,10,14,9,64.28571428571429,2018,15872,46098,349.98035803121195,73.93703301193929,142.59665576012668,176.4948304742084,316.18328144161103,32768.4,4791.8,1589.6,13358.4,27023.8
4,Brown,2207,3378,2356,69.74541148608644,2018,266371,51548,208.4170556889615,38.004831941265586,40.09954816868267,221.31581182283435,184.90692312547975,27215.0,13383.6,2012.2,9798.8,23576.2
5,Buffalo,26,32,18,56.25,2018,13362,44800,264.1250646744694,52.61241544208864,81.81416096232454,213.09854974921458,209.55981853128523,38801.2,9060.2,3356.2,22900.8,36552.6
6,Burnett,71,91,35,38.46153846153846,2018,16152,41510,316.2351025500293,75.81583398762483,100.14389936497341,167.1322359637191,279.36243474620335,29539.6,2811.2,3143.2,13351.4,20245.0
7,Calumet,130,187,110,58.8235294117647,2018,51941,49076,169.10603391494763,37.03987222086711,38.136425378038346,229.30197687711106,145.2072742952186,27215.0,12610.2,2012.2,9798.8,23576.2
8,Chippewa,434,592,424,71.62162162162163,2018,65342,44918,286.7520530582044,55.44499356096644,135.73008091275156,186.29717761027297,245.38479799603766,32411.8,8930.8,3285.6,22900.8,24446.6
9,Clark,21,29,13,44.82758620689656,2018,34674,41790,259.8179100022295,68.98039389372263,150.9106707245719,196.33455464000053,230.2665588855569,32411.8,9616.4,2753.8,22900.8,25409.6
10,Columbia,320,453,291,64.23841059602648,2018,57966,49975,135.27816808692086,67.44202725314635,55.56772755800231,250.68445210973164,117.10975765765238,27064.0,21313.6,2079.0,22527.0,22189.6
11,Crawford,223,363,121,33.33333333333334,2018,16269,41435,206.04855332819162,63.643277842492196,77.83068854373136,242.47829239297272,185.12663944898227,28789.0,7159.2,2638.8,29555.6,20823.8
12,Dane,5482,9693,7087,73.11461879707005,2018,550334,59885,113.19390583515133,44.51026484049048,43.37576601468714,253.74938609764757,99.56996589774667,27064.0,19050.4,1787.8,31010.0,22189.6
13,Dodge,361,559,311,55.6350626118068,2018,89380,43251,111.7582124574601,58.968630730095335,43.96090068980069,250.9527143869214,91.02022259584844,27064.0,19734.6,1646.0,20856.2,22189.6
14,Door,135,248,167,67.33870967741936,2018,29400,58605,241.87413493257245,91.8089803261601,110.31366829902068,222.99786319911428,232.2137338849381,24162.2,9312.6,1900.4,9830.8,14895.6
15,Douglas,276,387,229,59.17312661498708,2018,43824,42148,337.00064222518756,48.20181457480614,124.83297404564921,162.6911407360965,306.33186641798926,30188.6,4968.2,2474.2,13340.0,27023.8
16,Dunn,121,184,128,69.56521739130434,2018,45140,39898,293.54675026759503,38.64306133545227,96.67618727707,193.76214279258178,242.8252609760621,37838.2,9244.4,2978.6,22900.8,31210.8
17,Eau Claire,701,1328,1045,78.68975903614458,2018,104755,47522,278.33137522289354,52.432921340846676,119.05130231818472,195.28225392899736,233.3662487424528,32411.8,9517.4,2573.0,22900.8,25409.6
18,Fond du Lac,425,620,357,57.58064516129032,2018,103754,47523,138.06814627980958,48.474947043327674,41.61006095482039,240.0330402090718,114.86992618481513,27064.0,11803.4,1828.4,9798.8,23576.2
19,Forest,20,20,18,90.0,2018,9165,40632,281.7229033494697,100.0583915372114,161.88581814502223,203.51983002956288,269.6016504624621,32411.8,2797.4,1136.8,10172.6,19959.4
20,Grant,306,447,229,51.23042505592841,2018,52258,42848,181.62282196217143,70.55395115050254,40.81654220509558,260.10191493449,172.19338679331935,28789.0,13835.0,1105.8,29555.6,20823.8
21,Green,158,227,159,70.04405286343612,2018,37194,49999,123.36798765749488,51.78691953458455,56.823447650023084,257.31226623460617,115.7979296083704,27064.0,16532.4,1905.4,37965.6,22189.6
22,Green Lake,24,32,16,50.0,2018,18946,43950,153.06224780022362,66.67374476389155,57.51472488243461,237.88996681587705,131.9352708906823,27064.0,22050.4,1916.0,9798.8,22189.6
23,Iowa,98,142,91,64.08450704225352,2018,23746,47340,155.10539963730685,59.47272625457708,68.60064828175726,256.0124031879045,151.74926437143307,28789.0,16490.0,1801.8,29555.6,22189.6
24,Iron,18,34,9,26.47058823529412,2018,6015,46216,319.47365567289535,101.70657959402322,171.9464784637011,178.58066262211142,299.5362418657718,32411.8,1840.6,2237.6,13358.4,24446.6
25,Jackson,78,113,42,37.16814159292036,2018,20878,45077,246.10019259094906,68.58275830177354,117.02861300611343,209.2389588359486,211.6930491959527,37753.6,8636.6,2858.8,22900.8,25409.6
26,Jefferson,669,1087,644,59.24563017479301,2018,84974,45504,90.94951908783904,41.34748453721586,33.93093602720362,249.10673327432823,75.21646373946484,27064.0,19050.4,1825.6,30937.0,22189.6
27,Juneau,91,106,41,38.67924528301887,2018,26489,38342,207.39428909565572,90.91851882705508,108.48626826948944,225.7457529047992,180.11134113979944,34642.0,10093.6,3446.2,22515.6,18673.8
28,Kenosha,1502,2460,1530,62.19512195121951,2018,168629,46959,65.10796713027324,26.163846561628766,28.291110568834732,241.44738712692575,59.6288905509688,22836.2,10559.6,1313.4,41983.0,17948.4
29,Kewaunee,181,270,151,55.92592592592592,2018,20497,46427,213.23032259111227,58.183914415923766,62.52563651580035,226.65524116748756,191.9389946764046,27779.0,9741.8,2012.2,9830.8,22904.6
30,La Crosse,817,1493,986,66.04152712659075,2018,120142,48561,235.29676177557207,55.50836895446614,78.16756706218436,223.57829150830085,200.28470606124682,37753.6,8716.8,4055.0,29555.6,29788.4
31,Lafayette,87,128,54,42.1875,2018,16631,42307,149.7774986263018,59.77450256317902,49.4141301563835,265.93372511396245,147.38348186299172,28789.0,16490.0,1105.8,40912.2,23072.4
32,Langlade,66,81,32,39.50617283950617,2018,19503,42483,261.51280987801493,72.221811073304,140.45640177527508,195.1342138110614,247.8166433285935,32411.8,5166.0,1464.4,10172.6,19959.4
33,Lincoln,165,222,142,63.96396396396396,2018,28346,44625,266.6929803066052,70.97588279277339,168.31278817262628,188.91376409436384,259.86853516083323,32411.8,5166.0,1202.8,10172.6,24446.6
34,Manitowoc,244,347,166,47.83861671469741,2018,80956,45365,175.1076344393462,47.04251987306933,44.84428590497161,228.23543841049428,152.0647465985946,27215.0,13383.6,2012.2,20771.8,23576.2
35,Marathon,712,1150,759,66.0,2018,137418,49349,249.64760267367564,54.761612680304516,145.55827914290506,194.12161239906064,239.04782367788317,32411.8,5166.0,1464.4,22515.6,18673.8
36,Marinette,118,141,61,43.26241134751773,2018,41708,43834,264.01353776755695,92.47459439019757,137.43842007643764,213.73287706365363,250.53478460827486,24162.2,5986.8,2012.2,9903.8,19959.4
37,Marquette,34,55,27,49.09090909090909,2018,15397,40876,166.87662565765564,78.284590326395,74.2544277848498,232.6024759551396,146.83531199950266,27064.0,20271.6,2079.0,22515.6,22189.6
38,Milwaukee,5631,9920,5559,56.0383064516129,2018,942669,46735,71.19252637784999,18.134395807623388,4.867456100498113,237.5250127472056,48.86156104494462,27215.0,14949.8,3653.6,30553.4,17948.4
39,Monroe,181,316,180,56.96202531645569,2018,45972,41319,224.15992611239872,75.82546159831425,107.19049030266619,223.83802875038367,199.1617380261679,37753.6,8080.0,3677.4,29555.6,25409.6
40,Oconto,103,126,56,44.44444444444444,2018,38438,45239,246.2581547477486,68.96733079196557,98.85618812139928,209.64087356164472,226.17882329489893,24162.2,10687.2,1786.2,9798.8,19959.4
41,Oneida,192,296,193,65.20270270270271,2018,37118,48517,282.08425712652644,87.4599953708799,173.4151364273692,190.13031577001794,277.17574144523553,32411.8,3509.2,1136.8,10172.6,24446.6
42,Outagamie,1924,3321,2284,68.774465522433,2018,188719,50212,205.6918988722453,37.13399971310438,46.938255367039446,215.11485526188608,181.71415726560997,27215.0,12524.2,1464.4,9798.8,23576.2
43,Ozaukee,1643,3136,2437,77.71045918367346,2018,90548,80891,100.21166202914227,43.37425658202723,29.32134395424911,237.8547206917091,76.70289005775142,27215.0,13718.0,2760.4,30553.4,23576.2
44,Pepin,55,93,48,51.61290322580645,2018,7329,47940,276.83794164126266,45.04485778012405,84.61925967739089,207.8698298453315,217.40368978534326,38801.2,8652.2,2959.6,22900.8,36552.6
45,Pierce,349,488,330,67.62295081967213,2018,42213,45767,276.98957975086034,37.92078918210698,63.587822136249954,210.48020940768555,222.59192093553165,39068.4,5691.2,3999.8,22900.8,36552.6
46,Polk,215,312,220,70.51282051282051,2018,44561,45265,306.3678007955869,63.70191677430647,65.45374612059193,179.9242589141726,263.83571009331416,29539.6,7454.2,3076.6,13381.6,26934.4
47,Portage,509,754,549,72.81167108753316,2018,70476,45576,230.30724225414647,58.623945168444436,106.97014707782012,204.86361892526293,200.6412253742997,34642.0,8491.8,1464.4,22515.6,18673.8
48,Price,70,93,61,65.59139784946237,2018,13998,43529,290.3309993715549,90.39463787721198,181.16768137992057,174.54338090917523,269.07269871310166,32411.8,3687.0,2642.8,13358.4,24446.6
49,Racine,1124,2161,1266,58.58398889403054,2018,197734,48550,68.74729654967747,27.02613083673669,25.61666124169933,242.0828853781258,55.874363007698626,22836.2,9855.0,1918.8,30553.4,17948.4
50,Richland,52,78,54,69.23076923076923,2018,17435,42774,185.38558572807074,74.32514024486177,92.69998485810554,238.49486575680953,176.7627564452676,28789.0,15646.6,2136.0,29555.6,18673.8
51,Rock,1168,1949,1114,57.15751667521806,2018,163319,43382,96.17024905065145,38.09411972161318,39.448283976742296,253.57137741942142,88.46745256771263,27064.0,18882.4,1110.0,30937.0,22189.6
52,Rusk,30,34,7,20.58823529411765,2018,14177,43950,297.72760856330433,70.47963444407858,150.35902086886412,171.81731878181003,260.8753918650209,32411.8,8040.4,2877.6,13358.4,24446.6
53,St. Croix,1083,1798,1293,71.91323692992214,2018,91288,54844,293.93475406430724,42.726366606542086,54.009246152701145,198.5978750459908,240.2735846869998,33726.6,8962.2,2956.0,13381.6,32441.0
54,Sauk,603,894,507,56.71140939597316,2018,65344,47817,165.65727708629174,79.05076157082138,87.10756926427962,241.07777857296597,150.84126896782035,28789.0,18208.8,2322.8,29555.6,22189.6
55,Sawyer,47,49,22,44.89795918367347,2018,17551,42125,317.3264664170537,84.16285079706873,142.61681104979988,160.56769353878659,281.54724560156944,32411.8,4520.8,2474.2,13358.4,24446.6
56,Shawano,94,115,47,40.8695652173913,2018,40725,42033,236.26844049654773,55.49473966088938,85.91967850099192,204.04549159767015,213.62186308102864,24833.8,10706.4,1464.4,9798.8,19959.4
57,Sheboygan,499,693,425,61.32756132756133,2018,117363,51168,133.01308433042982,53.73005605204346,47.683997269734334,235.73103778964924,109.55333746998845,27215.0,12195.6,2999.6,20771.8,23576.2
58,Taylor,119,166,93,56.02409638554217,2018,20013,39947,272.65348023663984,82.93666344766032,172.21162741609473,186.6191334005909,249.2534360543903,32411.8,8069.4,2484.4,13358.4,24446.6
59,Trempealeau,171,237,136,57.38396624472574,2018,30361,43135,258.02598814107586,52.889487968115155,89.96342840876937,212.1647840382072,213.158723747494,37753.6,10050.2,3123.2,22900.8,29788.4
60,Vernon,103,154,97,62.98701298701299,2018,30650,40802,217.34943766339399,65.89896408927977,89.22739066358295,230.58637156083455,194.21830076331946,37753.6,6998.8,3981.8,29555.6,19556.6
61,Vilas,98,182,131,71.97802197802197,2018,22523,52403,299.55259963953927,98.17536598767973,180.55037641719173,191.73521551600257,292.74841897802617,32411.8,4026.2,1831.0,13358.4,24446.6
62,Walworth,945,1468,878,59.80926430517711,2018,105618,48265,80.318504989087,41.792822352351,39.35546269057555,244.9035791877165,72.50675830883941,27064.0,9997.4,1043.4,30937.0,22189.6
63,Washburn,38,45,23,51.11111111111112,2018,16560,45229,326.7784642154609,73.43331641609964,118.04483697665803,167.16517431528422,283.78629290340416,29539.6,2811.2,2474.2,13358.4,27023.8
64,Washington,1626,3040,2344,77.10526315789474,2018,135890,57756,99.9929000280153,43.88570655314947,34.16542758365905,242.50551541319618,76.11071747913626,27215.0,13718.0,2207.4,30553.4,23576.2
65,Waukesha,6567,11729,8535,72.76835194816267,2018,403616,71073,79.91713809677859,28.860387142071296,14.591752489934246,243.61413933857543,59.52669308128797,27215.0,15274.4,1273.2,30553.4,23576.2
66,Waupaca,264,382,166,43.45549738219896,2018,51917,44466,217.2554156862008,54.55322689469731,72.77530774028591,212.07104752737965,194.83394656497293,27064.0,12265.2,1464.4,22515.6,22189.6
67,Waushara,64,91,44,48.35164835164835,2018,24401,40346,188.2995819649987,69.32543692317606,79.51670337324121,221.59188923085426,166.84288194763207,27064.0,10705.2,2084.0,22515.6,22189.6
68,Winnebago,882,1137,750,65.96306068601584,2018,170879,47336,171.04519820497592,42.65930563760334,44.71773618129166,226.36923808161782,148.47561934155095,27064.0,12610.2,1996.4,9798.8,23576.2
69,Wood,667,1236,931,75.32362459546925,2018,74085,45262,236.53194281605465,74.11431693169936,132.13885245274054,204.4549882400789,210.08542613087815,34642.0,8230.0,2873.8,22515.6,18673.8
70,Adams,38,75,20,26.66666666666667,2019,20431,41159,195.93034483827273,90.3059683242695,101.06184967920498,223.09566341534696,171.5877411503718,27064.0,19895.2,2104.8,22515.6,18673.8
71,Ashland,20,29,14,48.27586206896552,2019,16021,40644,330.98578902119164,94.5946388743082,154.49318357066562,172.8514469913042,303.87840879144244,32411.8,4791.8,1589.6,13358.4,24446.6
72,Barron,140,208,108,51.92307692307692,2019,46645,49537,315.00157279089365,56.85004007741761,104.64589013973045,180.02326154741576,265.872638081901,33726.6,8040.4,2396.0,13358.4,24446.6
73,Bayfield,16,17,8,47.05882352941177,2019,16062,47552,349.98035803121195,73.93703301193929,142.59665576012668,176.4948304742084,316.18328144161103,32768.4,4791.8,1589.6,13358.4,27023.8
74,Brown,2201,3473,2340,67.37690757270371,2019,267706,52810,208.4170556889615,38.004831941265586,40.09954816868267,221.31581182283435,184.90692312547975,27215.0,13383.6,2012.2,9798.8,23576.2
75,Buffalo,36,49,34,69.38775510204081,2019,13275,45410,264.1250646744694,52.61241544208864,81.81416096232454,213.09854974921458,209.55981853128523,38801.2,9060.2,3356.2,22900.8,36552.6
76,Burnett,64,95,63,66.3157894736842,2019,16313,42889,316.2351025500293,75.81583398762483,100.14389936497341,167.1322359637191,279.36243474620335,29539.6,2811.2,3143.2,13351.4,20245.0
77,Calumet,176,246,163,66.26016260162602,2019,52167,50860,169.10603391494763,37.03987222086711,38.136425378038346,229.30197687711106,145.2072742952186,27215.0,12610.2,2012.2,9798.8,23576.2
78,Chippewa,430,552,378,68.47826086956522,2019,66104,46601,286.7520530582044,55.44499356096644,135.73008091275156,186.29717761027297,245.38479799603766,32411.8,8930.8,3285.6,22900.8,24446.6
79,Clark,18,23,6,26.08695652173913,2019,34714,43554,259.8179100022295,68.98039389372263,150.9106707245719,196.33455464000053,230.2665588855569,32411.8,9616.4,2753.8,22900.8,25409.6
80,Columbia,368,532,316,59.3984962406015,2019,58314,52498,135.27816808692086,67.44202725314635,55.56772755800231,250.68445210973164,117.10975765765238,27064.0,21313.6,2079.0,22527.0,22189.6
81,Crawford,205,339,152,44.8377581120944,2019,16186,42843,206.04855332819162,63.643277842492196,77.83068854373136,242.47829239297272,185.12663944898227,28789.0,7159.2,2638.8,29555.6,20823.8
82,Dane,5612,9786,6978,71.30594727161251,2019,556559,62819,113.19390583515133,44.51026484049048,43.37576601468714,253.74938609764757,99.56996589774667,27064.0,19050.4,1787.8,31010.0,22189.6
83,Dodge,299,513,363,70.76023391812865,2019,89399,44894,111.7582124574601,58.968630730095335,43.96090068980069,250.9527143869214,91.02022259584844,27064.0,19734.6,1646.0,20856.2,22189.6
84,Door,126,204,134,65.68627450980392,2019,29741,60425,241.87413493257245,91.8089803261601,110.31366829902068,222.99786319911428,232.2137338849381,24162.2,9312.6,1900.4,9830.8,14895.6
85,Douglas,256,351,215,61.25356125356125,2019,44035,43978,337.00064222518756,48.20181457480614,124.83297404564921,162.6911407360965,306.33186641798926,30188.6,4968.2,2474.2,13340.0,27023.8
86,Dunn,153,248,155,62.5,2019,45389,41238,293.54675026759503,38.64306133545227,96.67618727707,193.76214279258178,242.8252609760621,37838.2,9244.4,2978.6,22900.8,31210.8
87,Eau Claire,667,1304,928,71.16564417177914,2019,105002,49058,278.33137522289354,52.432921340846676,119.05130231818472,195.28225392899736,233.3662487424528,32411.8,9517.4,2573.0,22900.8,25409.6
88,Fond du Lac,478,744,431,57.93010752688172,2019,104175,49496,138.06814627980958,48.474947043327674,41.61006095482039,240.0330402090718,114.86992618481513,27064.0,11803.4,1828.4,9798.8,23576.2
89,Forest,20,20,14,70.0,2019,9219,41094,281.7229033494697,100.0583915372114,161.88581814502223,203.51983002956288,269.6016504624621,32411.8,2797.4,1136.8,10172.6,19959.4
90,Grant,291,449,243,54.12026726057906,2019,52358,44259,181.62282196217143,70.55395115050254,40.81654220509558,260.10191493449,172.19338679331935,28789.0,13835.0,1105.8,29555.6,20823.8
91,Green,148,220,151,68.63636363636364,2019,37219,52120,123.36798765749488,51.78691953458455,56.823447650023084,257.31226623460617,115.7979296083704,27064.0,16532.4,1905.4,37965.6,22189.6
92,Green Lake,19,25,18,72.0,2019,18997,44225,153.06224780022362,66.67374476389155,57.51472488243461,237.88996681587705,131.9352708906823,27064.0,22050.4,1916.0,9798.8,22189.6
93,Iowa,110,150,89,59.33333333333334,2019,23688,49996,155.10539963730685,59.47272625457708,68.60064828175726,256.0124031879045,151.74926437143307,28789.0,16490.0,1801.8,29555.6,22189.6
94,Iron,17,22,14,63.63636363636363,2019,6076,47550,319.47365567289535,101.70657959402322,171.9464784637011,178.58066262211142,299.5362418657718,32411.8,1840.6,2237.6,13358.4,24446.6
95,Jackson,68,97,43,44.32989690721649,2019,21109,44857,246.10019259094906,68.58275830177354,117.02861300611343,209.2389588359486,211.6930491959527,37753.6,8636.6,2858.8,22900.8,25409.6
96,Jefferson,609,984,625,63.51626016260163,2019,84696,47305,90.94951908783904,41.34748453721586,33.93093602720362,249.10673327432823,75.21646373946484,27064.0,19050.4,1825.6,30937.0,22189.6
97,Juneau,83,108,46,42.5925925925926,2019,26564,39955,207.39428909565572,90.91851882705508,108.48626826948944,225.7457529047992,180.11134113979944,34642.0,10093.6,3446.2,22515.6,18673.8
98,Kenosha,1600,2471,1458,59.00445163901254,2019,169279,48910,65.10796713027324,26.163846561628766,28.291110568834732,241.44738712692575,59.6288905509688,22836.2,10559.6,1313.4,41983.0,17948.4
99,Kewaunee,140,186,114,61.29032258064516,2019,20596,48131,213.23032259111227,58.183914415923766,62.52563651580035,226.65524116748756,191.9389946764046,27779.0,9741.8,2012.2,9830.8,22904.6
100,La Crosse,765,1297,792,61.06399383191982,2019,120305,50675,235.29676177557207,55.50836895446614,78.16756706218436,223.57829150830085,200.28470606124682,37753.6,8716.8,4055.0,29555.6,29788.4
101,Lafayette,77,108,54,50.0,2019,16636,43681,149.7774986263018,59.77450256317902,49.4141301563835,265.93372511396245,147.38348186299172,28789.0,16490.0,1105.8,40912.2,23072.4
102,Langlade,55,81,45,55.55555555555556,2019,19504,43888,261.51280987801493,72.221811073304,140.45640177527508,195.1342138110614,247.8166433285935,32411.8,5166.0,1464.4,10172.6,19959.4
103,Lincoln,198,306,197,64.37908496732027,2019,28335,45760,266.6929803066052,70.97588279277339,168.31278817262628,188.91376409436384,259.86853516083323,32411.8,5166.0,1202.8,10172.6,24446.6
104,Manitowoc,231,304,187,61.51315789473684,2019,81060,46754,175.1076344393462,47.04251987306933,44.84428590497161,228.23543841049428,152.0647465985946,27215.0,13383.6,2012.2,20771.8,23576.2
105,Marathon,785,1284,839,65.34267912772586,2019,137875,51696,249.64760267367564,54.761612680304516,145.55827914290506,194.12161239906064,239.04782367788317,32411.8,5166.0,1464.4,22515.6,18673.8
106,Marinette,67,79,41,51.89873417721519,2019,41717,44745,264.01353776755695,92.47459439019757,137.43842007643764,213.73287706365363,250.53478460827486,24162.2,5986.8,2012.2,9903.8,19959.4
107,Marquette,18,24,15,62.5,2019,15541,42737,166.87662565765564,78.284590326395,74.2544277848498,232.6024759551396,146.83531199950266,27064.0,20271.6,2079.0,22515.6,22189.6
108,Milwaukee,5199,9050,5552,61.34806629834255,2019,941127,47898,71.19252637784999,18.134395807623388,4.867456100498113,237.5250127472056,48.86156104494462,27215.0,14949.8,3653.6,30553.4,17948.4
109,Monroe,159,295,136,46.10169491525424,2019,46418,41990,224.15992611239872,75.82546159831425,107.19049030266619,223.83802875038367,199.1617380261679,37753.6,8080.0,3677.4,29555.6,25409.6
110,Oconto,65,74,30,40.54054054054054,2019,38660,47085,246.2581547477486,68.96733079196557,98.85618812139928,209.64087356164472,226.17882329489893,24162.2,10687.2,1786.2,9798.8,19959.4
111,Oneida,221,356,227,63.76404494382022,2019,37491,49348,282.08425712652644,87.4599953708799,173.4151364273692,190.13031577001794,277.17574144523553,32411.8,3509.2,1136.8,10172.6,24446.6
112,Outagamie,1923,3279,2285,69.68587984141507,2019,189848,52233,205.6918988722453,37.13399971310438,46.938255367039446,215.11485526188608,181.71415726560997,27215.0,12524.2,1464.4,9798.8,23576.2
113,Ozaukee,1675,3158,2398,75.9341355288157,2019,90998,83681,100.21166202914227,43.37425658202723,29.32134395424911,237.8547206917091,76.70289005775142,27215.0,13718.0,2760.4,30553.4,23576.2
114,Pepin,41,63,36,57.14285714285715,2019,7326,49331,276.83794164126266,45.04485778012405,84.61925967739089,207.8698298453315,217.40368978534326,38801.2,8652.2,2959.6,22900.8,36552.6
