,County,State_Abbreviation,Income,Population
1896,Rockland,NY,71330,340807
1897,St. Lawrence,NY,47495,106940
1898,Saratoga,NY,81008,238711
1899,Schenectady,NY,60259,159902
1900,Schoharie,NY,53174,30105
1901,Schuyler,NY,52126,17507
1902,Seneca,NY,50044,32349
1903,Steuben,NY,56349,92162
1904,Suffolk,NY,88816,1523170
1905,Sullivan,NY,57831,79920
1906,Tioga,NY,54765,47715
1907,Tompkins,NY,54159,103558
1908,Ulster,NY,66314,182333
1909,Warren,NY,66384,65380
1910,Washington,NY,51044,60047
1911,Wayne,NY,57109,90829
1912,Westchester,NY,130834,990817
1913,Wyoming,NY,50759,39532
1914,Yates,NY,51837,24472
1915,Alamance,NC,51405,179165
1916,Alexander,NC,49694,36473
1917,Alleghany,NC,46732,11342
1918,Anson,NC,51004,21897
1919,Ashe,NC,48453,27063
1920,Avery,NC,50256,17561
1921,Beaufort,NC,57387,44481
1922,Bertie,NC,49592,16922
1923,Bladen,NC,50481,29484
1924,Brunswick,NC,62104,159964
1925,Buncombe,NC,66288,275901
1926,Burke,NC,47560,88338
1927,Cabarrus,NC,57694,240016
1928,Caldwell,NC,47398,80574
1929,Camden,NC,60407,11137
1930,Carteret,NC,68500,69615
1931,Caswell,NC,43437,22807
1932,Catawba,NC,57624,164645
1933,Chatham,NC,85995,81624
1934,Cherokee,NC,41999,29959
1935,Chowan,NC,54599,13891
1936,Clay,NC,47138,11864
1937,Cleveland,NC,47778,101378
1938,Columbus,NC,45922,50121
1939,Craven,NC,58120,102391
1940,Cumberland,NC,48345,337890
1941,Currituck,NC,63750,31593
1942,Dare,NC,79309,38110
1943,Davidson,NC,51406,174804
1944,Davie,NC,63324,44599
1945,Duplin,NC,53711,49520
1946,Durham,NC,64059,336892
1947,Edgecombe,NC,47194,48832
1948,Forsyth,NC,60481,392921
1949,Franklin,NC,49691,77001
1950,Gaston,NC,52373,237242
1951,Gates,NC,52872,10343
1952,Graham,NC,44387,8052
1953,Granville,NC,49896,62192
1954,Greene,NC,40266,20530
1955,Guilford,NC,59170,549866
1956,Halifax,NC,46895,47298
1957,Harnett,NC,47518,141477
1958,Haywood,NC,53755,62969
1959,Henderson,NC,59258,119230
1960,Hertford,NC,46092,19453
1961,Hoke,NC,43213,54446
1962,Hyde,NC,52292,4607
1963,Iredell,NC,66843,199710
1964,Jackson,NC,46605,44574
1965,Johnston,NC,52757,241955
1966,Jones,NC,49621,9401
1967,Lee,NC,53310,67059
1968,Lenoir,NC,53456,54895
1969,Lincoln,NC,61859,95675
1970,McDowell,NC,47124,44893
1971,Macon,NC,52844,38412
1972,Madison,NC,47811,22071
1973,Martin,NC,44368,21447
1974,Mecklenburg,NC,82500,1163701
1975,Mitchell,NC,47047,14999
1976,Montgomery,NC,48050,26085
1977,Moore,NC,68180,106898
1978,Nash,NC,53389,96551
1979,New Hanover,NC,64831,238852
1980,Northampton,NC,49507,16715
1981,Onslow,NC,53594,213676
1982,Orange,NC,82487,150626
1983,Pamlico,NC,56687,12423
1984,Pasquotank,NC,50974,41444
1985,Pender,NC,53382,68521
1986,Perquimans,NC,56511,13377
1987,Person,NC,48911,39737
1988,Pitt,NC,56956,175119
1989,Polk,NC,67589,20060
1990,Randolph,NC,48970,147458
1991,Richmond,NC,47384,42324
1992,Robeson,NC,43550,117365
1993,Rockingham,NC,48622,92518
1994,Rowan,NC,49008,151661
1995,Rutherford,NC,44091,65507
1996,Sampson,NC,46676,59601
1997,Scotland,NC,42838,34376
1998,Stanly,NC,50394,65699
1999,Stokes,NC,49687,45532
2000,Surry,NC,51241,71462
2001,Swain,NC,55328,13916
2002,Transylvania,NC,60160,33549
2003,Tyrrell,NC,46213,3461
2004,Union,NC,72553,256452
2005,Vance,NC,45762,42301
2006,Wake,NC,81322,1190275
2007,Warren,NC,39006,18836
2008,Washington,NC,48759,10713
2009,Watauga,NC,53013,54748
2010,Wayne,NC,50748,118686
2011,Wilkes,NC,49350,66013
2012,Wilson,NC,52627,78970
2013,Yadkin,NC,49886,37774
2014,Yancey,NC,45449,18938
2015,Adams,ND,54673,2163
2016,Barnes,ND,74136,10726
2017,Benson,ND,60006,5745
2018,Billings,ND,89603,1034
2019,Bottineau,ND,82191,6349
2020,Bowman,ND,72257,2867
2021,Burke,ND,89281,2134
2022,Burleigh,ND,75321,100012
2023,Cass,ND,73185,196362
2024,Cavalier,ND,106795,3596
2025,Dickey,ND,99866,4900
2026,Divide,ND,68807,2135
2027,Dunn,ND,103731,4019
2028,Eddy,ND,83562,2263
2029,Emmons,ND,69003,3224
2030,Foster,ND,83274,3309
2031,Golden Valley,ND,49510,1743
2032,Grand Forks,ND,63280,72708
2033,Grant,ND,53999,2215
2034,Griggs,ND,86194,2248
2035,Hettinger,ND,55263,2415
2036,Kidder,ND,77327,2342
2037,LaMoure,ND,91051,4096
2038,Logan,ND,72030,1869
2039,McHenry,ND,75774,5131
2040,McIntosh,ND,74321,2488
2041,McKenzie,ND,84357,14252
2042,McLean,ND,72821,9832
2043,Mercer,ND,66823,8309
2044,Morton,ND,63288,33895
2045,Mountrail,ND,80515,9383
2046,Nelson,ND,83523,2991
2047,Oliver,ND,55494,1879
2048,Pembina,ND,83598,6661
2049,Pierce,ND,66771,3902
2050,Ramsey,ND,67469,11463
2051,Ransom,ND,78909,5603
2052,Renville,ND,94262,2279
2053,Richland,ND,70746,16558
2054,Rolette,ND,56859,11728
2055,Sargent,ND,96135,3776
2056,Sheridan,ND,67934,1266
2057,Sioux,ND,37765,3643
2058,Slope,ND,47105,674
2059,Stark,ND,71645,33001
2060,Steele,ND,97896,1782
2061,Stutsman,ND,68370,21392
2062,Towner,ND,101180,2030
2063,Traill,ND,72754,7908
2064,Walsh,ND,70222,10305
2065,Ward,ND,66524,68332
2066,Wells,ND,89429,3876
2067,Williams,ND,75412,39113
2068,Adams,OH,46026,27521
2069,Allen,OH,54010,100838
2070,Ashland,OH,51242,52190
2071,Ashtabula,OH,50508,96845
2072,Athens,OH,42018,62706
2073,Auglaize,OH,60383,46050
2074,Belmont,OH,51534,64918
2075,Brown,OH,49102,43777
2076,Butler,OH,58192,393043
2077,Carroll,OH,50809,26758
2078,Champaign,OH,51945,38845
2079,Clark,OH,50553,134610
2080,Clermont,OH,63599,211972
2081,Clinton,OH,53901,41938
2082,Columbiana,OH,47871,100182
2083,Coshocton,OH,44741,36869
2084,Crawford,OH,48370,41529
2085,Cuyahoga,OH,68360,1233088
2086,Darke,OH,56920,51415
2087,Defiance,OH,50168,38315
2088,Delaware,OH,93124,231636
2089,Erie,OH,61964,74035
2090,Fairfield,OH,58194,165360
2091,Fayette,OH,49752,28817
2092,Franklin,OH,63874,1326063
2093,Fulton,OH,56773,42007
2094,Gallia,OH,50025,28986
2095,Geauga,OH,86579,95407
2096,Greene,OH,64628,169691
2097,Guernsey,OH,51043,38089
2098,Hamilton,OH,75833,827058
2099,Hancock,OH,62204,74704
2100,Hardin,OH,42958,30368
2101,Harrison,OH,50642,14159
2102,Henry,OH,55580,27520
2103,Highland,OH,46608,43614
2104,Hocking,OH,48115,27540
2105,Holmes,OH,60632,44386
2106,Huron,OH,50983,58199
2107,Jackson,OH,43799,32606
2108,Jefferson,OH,48346,64026
2109,Knox,OH,55379,63320
2110,Lake,OH,63667,231640
2111,Lawrence,OH,51367,56118
2112,Licking,OH,58710,183201
2113,Logan,OH,51515,46057
2114,Lorain,OH,59141,317910
2115,Lucas,OH,57012,425484
2116,Madison,OH,54404,44602
2117,Mahoning,OH,54630,225596
2118,Marion,OH,45112,64851
2119,Medina,OH,70562,184042
2120,Meigs,OH,44864,21767
2121,Mercer,OH,67802,42439
2122,Miami,OH,60457,110876
2123,Monroe,OH,44894,13153
2124,Montgomery,OH,58304,533796
2125,Morgan,OH,45751,13646
2126,Morrow,OH,51281,35595
2127,Muskingum,OH,52225,86305
2128,Noble,OH,33492,14311
2129,Ottawa,OH,66465,39803
2130,Paulding,OH,54129,18706
2131,Perry,OH,48777,35551
2132,Pickaway,OH,52884,61086
2133,Pike,OH,48745,27001
2134,Portage,OH,57326,162665
2135,Preble,OH,52241,40556
2136,Putnam,OH,63830,34199
2137,Richland,OH,48116,125064
2138,Ross,OH,46934,76501
2139,Sandusky,OH,52046,58709
2140,Scioto,OH,49423,71969
2141,Seneca,OH,50248,54527
2142,Shelby,OH,55606,47765
2143,Stark,OH,56961,372716
2144,Summit,OH,64598,535733
2145,Trumbull,OH,49159,200373
2146,Tuscarawas,OH,57335,91874
2147,Union,OH,73664,69637
2148,Van Wert,OH,53340,28704
2149,Vinton,OH,43796,12474
2150,Warren,OH,77881,252148
2151,Washington,OH,55168,58577
2152,Wayne,OH,58161,116510
2153,Williams,OH,52187,36591
2154,Wood,OH,59887,132650
2155,Wyandot,OH,59710,21457
2156,Adair,OK,42679,19627
2157,Alfalfa,OK,48610,5673
2158,Atoka,OK,37738,14525
2159,Beaver,OK,69284,5018
2160,Beckham,OK,42510,22042
2161,Blaine,OK,54975,8539
2162,Bryan,OK,46331,48967
2163,Caddo,OK,47172,26214
2164,Canadian,OK,56000,175829
2165,Carter,OK,53086,48596
2166,Cherokee,OK,43232,48185
2167,Choctaw,OK,43172,14276
2168,Cimarron,OK,80911,2191
2169,Cleveland,OK,54522,301193
2170,Coal,OK,46976,5266
2171,Comanche,OK,51375,121574
2172,Cotton,OK,54529,5427
2173,Craig,OK,47115,14494
2174,Creek,OK,50595,73332
2175,Custer,OK,49244,28266
2176,Delaware,OK,46212,41703
2177,Dewey,OK,60783,4286
2178,Ellis,OK,63914,3648
2179,Garfield,OK,51152,62023
2180,Garvin,OK,50882,25865
2181,Grady,OK,50790,57375
2182,Grant,OK,62676,4083
2183,Greer,OK,39560,5466
2184,Harmon,OK,60399,2392
2185,Harper,OK,66533,3190
2186,Haskell,OK,46167,11832
2187,Hughes,OK,46378,13436
2188,Jackson,OK,54031,24669
2189,Jefferson,OK,44947,5347
2190,Johnston,OK,50204,10216
2191,Kay,OK,49623,43641
2192,Kingfisher,OK,73533,15481
2193,Kiowa,OK,47696,8398
2194,Latimer,OK,42400,9526
2195,Le Flore,OK,43023,49596
2196,Lincoln,OK,46586,34562
2197,Logan,OK,51254,53029
2198,Love,OK,45712,10296
2199,McClain,OK,58603,47072
2200,McCurtain,OK,46108,30660
2201,McIntosh,OK,44389,19603
2202,Major,OK,51281,7581
2203,Marshall,OK,48734,15970
2204,Mayes,OK,47773,39889
2205,Murray,OK,51005,13754
2206,Muskogee,OK,47792,66677
2207,Noble,OK,53893,10832
2208,Nowata,OK,49125,9438
2209,Okfuskee,OK,40201,11300
2210,Oklahoma,OK,72954,808866
2211,Okmulgee,OK,45207,37035
2212,Osage,OK,45299,46130
2213,Ottawa,OK,47987,30287
2214,Pawnee,OK,45758,15864
2215,Payne,OK,47401,83352
2216,Pittsburg,OK,45267,43479
2217,Pontotoc,OK,56112,38396
2218,Pottawatomie,OK,49485,73791
2219,Pushmataha,OK,41900,10800
2220,Roger Mills,OK,55166,3295
2221,Rogers,OK,55985,100248
2222,Seminole,OK,44566,23565
2223,Sequoyah,OK,44534,40291
2224,Stephens,OK,53673,44014
2225,Texas,OK,62433,20371
2226,Tillman,OK,41237,6869
2227,Tulsa,OK,78619,682868
2228,Wagoner,OK,51664,89280
2229,Washington,OK,111286,53706
2230,Washita,OK,42987,10736
2231,Woods,OK,52976,8564
2232,Woodward,OK,44533,19947
2233,Baker,OR,52392,16912
2234,Benton,OR,60307,97713
2235,Clackamas,OR,80269,423173
2236,Clatsop,OR,60930,41102
2237,Columbia,OR,59020,53880
2238,Coos,OR,59838,64212
2239,Crook,OR,57968,26952
2240,Curry,OR,57405,23296
2241,Deschutes,OR,81025,208513
2242,Douglas,OR,52684,112435
2243,Gilliam,OR,71618,2026
2244,Grant,OR,54969,7215
2245,Harney,OR,53228,7440
2246,Hood River,OR,71946,23745
2247,Jackson,OR,62541,220768
2248,Jefferson,OR,46111,25454
2249,Josephine,OR,55038,87821
2250,Klamath,OR,51246,70003
2251,Lake,OR,50163,8293
2252,Lane,OR,61634,381181
2253,Lincoln,OR,59715,50821
2254,Linn,OR,57016,131496
2255,Malheur,OR,40360,32044
2256,Marion,OR,58470,346741
2257,Morrow,OR,58480,12302
2258,Multnomah,OR,75772,789698
2259,Polk,OR,55086,89805
2260,Sherman,OR,66483,1951
2261,Tillamook,OR,61950,27417
2262,Umatilla,OR,53253,80053
2263,Union,OR,53469,25944
2264,Wallowa,OR,59576,7674
2265,Wasco,OR,56865,26333
2266,Washington,OR,79139,598865
2267,Wheeler,OR,49563,1436
2268,Yamhill,OR,61974,108644
2269,Adams,PA,58880,106748
2270,Allegheny,PA,75468,1224825
2271,Armstrong,PA,58854,64074
2272,Beaver,PA,58206,165631
2273,Bedford,PA,52510,47350
2274,Berks,PA,61575,432821
2275,Blair,PA,57782,120273
2276,Bradford,PA,50930,59695
2277,Bucks,PA,92846,645984
2278,Butler,PA,73039,198413
2279,Cambria,PA,50932,130668
2280,Cameron,PA,54148,4380
2281,Carbon,PA,62353,65458
2282,Centre,PA,57800,157795
2283,Chester,PA,108215,549784
2284,Clarion,PA,50175,36970
2285,Clearfield,PA,57841,77090
2286,Clinton,PA,48383,37607
2287,Columbia,PA,52692,65439
2288,Crawford,PA,51236,82001
2289,Cumberland,PA,68998,270738
2290,Dauphin,PA,60670,289234
2291,Delaware,PA,83368,576720
2292,Elk,PA,53862,30198
2293,Erie,PA,54694,267571
2294,Fayette,PA,51467,123915
2295,Forest,PA,30606,6449
2296,Franklin,PA,58380,157854
2297,Fulton,PA,49640,14468
2298,Greene,PA,52757,34357
2299,Huntingdon,PA,46957,43514
2300,Indiana,PA,48336,83094
2301,Jefferson,PA,50976,43612
2302,Juniata,PA,62851,23243
2303,Lackawanna,PA,56985,216123
2304,Lancaster,PA,66876,558589
2305,Lawrence,PA,53835,84472
2306,Lebanon,PA,58851,144252
2307,Lehigh,PA,65898,377754
2308,Luzerne,PA,53214,327388
2309,Lycoming,PA,53630,112724
2310,McKean,PA,51318,39519
2311,Mercer,PA,51133,108503
2312,Mifflin,PA,49197,45922
2313,Monroe,PA,54716,166053
2314,Montgomery,PA,101172,868742
2315,Montour,PA,70610,17860
2316,Northampton,PA,68050,319091
2317,Northumberland,PA,50445,90120
2318,Perry,PA,56411,46083
2319,Philadelphia,PA,61829,1550542
2320,Pike,PA,59543,61247
2321,Potter,PA,48180,15999
2322,Schuylkill,PA,52049,143786
2323,Snyder,PA,54472,39717
2324,Somerset,PA,49685,72197
2325,Sullivan,PA,59379,5834
2326,Susquehanna,PA,61452,38109
2327,Tioga,PA,47580,40840
2328,Union,PA,53495,42042
2329,Venango,PA,51568,49431
2330,Warren,PA,52057,37572
2331,Washington,PA,75091,210232
2332,Wayne,PA,57575,51262
2333,Westmoreland,PA,64021,351163
2334,Wyoming,PA,57180,25902
2335,York,PA,60915,464640
2336,Bristol,RI,92538,50255
2337,Kent,RI,72004,171278
2338,Newport,RI,89517,83832
2339,Providence,RI,58572,660615
2340,Washington,RI,83586,129982
2341,Abbeville,SC,43106,24434
2342,Aiken,SC,53883,177130
2343,Allendale,SC,46875,7369
2344,Anderson,SC,50288,213076
2345,Bamberg,SC,44564,12974
2346,Barnwell,SC,41338,20447
2347,Beaufort,SC,80192,198979
2348,Berkeley,SC,55131,255217
2349,Calhoun,SC,51945,14186
2350,Charleston,SC,83294,424367
2351,Cherokee,SC,41896,56714
2352,Chester,SC,44918,32226
2353,Chesterfield,SC,40396,44031
2354,Clarendon,SC,48457,31004
2355,Colleton,SC,46418,38874
2356,Darlington,SC,49772,62416
2357,Dillon,SC,40339,27698
2358,Dorchester,SC,51555,169833
2359,Edgefield,SC,50938,27607
2360,Fairfield,SC,52780,20422
2361,Florence,SC,54943,137214
2362,Georgetown,SC,61924,65731
2363,Greenville,SC,60866,558036
2364,Greenwood,SC,46153,69460
2365,Hampton,SC,44723,18122
2366,Horry,SC,51033,397478
2367,Jasper,SC,48687,33544
2368,Kershaw,SC,57000,69905
2369,Lancaster,SC,58926,108215
2370,Laurens,SC,43851,68873
2371,Lee,SC,44427,15967
2372,Lexington,SC,60682,309528
2373,McCormick,SC,49183,9941
2374,Marion,SC,43174,28508
2375,Marlboro,SC,38787,25704
2376,Newberry,SC,49870,38825
2377,Oconee,SC,57361,81221
2378,Orangeburg,SC,44277,82820
2379,Pickens,SC,49294,135495
2380,Richland,SC,57160,425138
2381,Saluda,SC,45923,19123
2382,Spartanburg,SC,53700,356698
2383,Sumter,SC,49704,104165
2384,Union,SC,40314,26629
2385,Williamsburg,SC,40528,29891
2386,York,SC,62604,298320
2387,Aurora,SD,62896,2782
2388,Beadle,SD,62173,19591
2389,Bennett,SD,50005,3305
2390,Bon Homme,SD,55240,7065
2391,Brookings,SD,62408,35980
2392,Brown,SD,75470,37733
2393,Brule,SD,74055,5311
2394,Buffalo,SD,36239,1884
2395,Butte,SD,51470,10863
2396,Campbell,SD,74502,1340
2397,Charles Mix,SD,57355,9240
2398,Clark,SD,92623,3948
2399,Clay,SD,49412,15431
2400,Codington,SD,67768,28971
2401,Corson,SD,39427,3782
2402,Custer,SD,68449,9117
2403,Davison,SD,67849,19922
2404,Day,SD,73994,5451
2405,Deuel,SD,75160,4354
2406,Dewey,SD,55915,5208
2407,Douglas,SD,76934,2838
2408,Edmunds,SD,93731,4057
2409,Fall River,SD,59842,7393
2410,Faulk,SD,92449,2151
2411,Grant,SD,74933,7553
2412,Gregory,SD,64034,4018
2413,Haakon,SD,84084,1851
2414,Hamlin,SD,69757,6451
2415,Hand,SD,88410,3107
2416,Hanson,SD,82440,3471
2417,Harding,SD,46360,1324
2418,Hughes,SD,67656,17624
2419,Hutchinson,SD,75370,7394
2420,Hyde,SD,76842,1186
2421,Jackson,SD,45622,2776
2422,Jerauld,SD,83863,1660
2423,Jones,SD,68393,855
2424,Kingsbury,SD,81021,5276
2425,Lake,SD,89740,11031
2426,Lawrence,SD,75362,28053
2427,Lincoln,SD,88589,73238
2428,Lyman,SD,57455,3705
2429,McCook,SD,73312,5809
2430,McPherson,SD,78240,2334
2431,Marshall,SD,78539,4390
2432,Meade,SD,57635,30954
2433,Mellette,SD,49520,1851
2434,Miner,SD,82324,2280
2435,Minnehaha,SD,74873,206930
2436,Moody,SD,71327,6450
2437,Oglala Lakota,SD,36222,13434
2438,Pennington,SD,73485,115903
2439,Perkins,SD,53149,2834
2440,Potter,SD,78059,2413
2441,Roberts,SD,56917,10206
2442,Sanborn,SD,73160,2399
2443,Spink,SD,97495,6166
2444,Stanley,SD,79790,3043
2445,Sully,SD,98031,1494
2446,Todd,SD,37812,9199
2447,Tripp,SD,67191,5621
2448,Turner,SD,78376,9027
2449,Union,SD,139931,17183
2450,Walworth,SD,65619,5269
2451,Yankton,SD,70996,23517
2452,Ziebach,SD,37969,2322
2453,Anderson,TN,56260,80234
2454,Bedford,TN,47850,53055
2455,Benton,TN,43832,16103
2456,Bledsoe,TN,36038,15060
2457,Blount,TN,58447,141456
2458,Bradley,TN,50014,111579
2459,Campbell,TN,44694,40223
2460,Cannon,TN,48732,15063
2461,Carroll,TN,44182,28860
2462,Carter,TN,42833,57022
2463,Cheatham,TN,59907,42254
2464,Chester,TN,43542,17606
2465,Claiborne,TN,44367,32654
2466,Clay,TN,39424,7714
2467,Cocke,TN,42387,37404
2468,Coffee,TN,50163,60633
2469,Crockett,TN,50106,13982
2470,Cumberland,TN,48091,64760
2471,Davidson,TN,92496,712334
2472,Decatur,TN,52005,11656
2473,DeKalb,TN,50940,21225
2474,Dickson,TN,54986,56729
2475,Dyer,TN,53828,36498
2476,Fayette,TN,81728,44175
2477,Fentress,TN,43102,19696
2478,Franklin,TN,49891,44654
2479,Gibson,TN,49536,51045
2480,Giles,TN,47548,30721
2481,Grainger,TN,45678,24681
2482,Greene,TN,44945,72577
2483,Grundy,TN,40453,13955
2484,Hamblen,TN,50094,66216
2485,Hamilton,TN,65525,379864
2486,Hancock,TN,33223,6956
2487,Hardeman,TN,36966,25567
2488,Hardin,TN,47525,27229
2489,Hawkins,TN,44192,58600
2490,Haywood,TN,40397,17328
2491,Henderson,TN,48395,28070
2492,Henry,TN,55959,32554
2493,Hickman,TN,45298,25826
2494,Houston,TN,41112,8393
2495,Humphreys,TN,47364,19209
2496,Jackson,TN,40132,12363
2497,Jefferson,TN,48184,57838
2498,Johnson,TN,40345,18375
2499,Knox,TN,67323,500669
2500,Lake,TN,32554,6347
2501,Lauderdale,TN,41198,24610
2502,Lawrence,TN,43273,46114
2503,Lewis,TN,44554,13066
2504,Lincoln,TN,51229,36169
2505,Loudon,TN,70063,60591
2506,McMinn,TN,45629,55678
2507,McNairy,TN,40085,26163
2508,Macon,TN,41530,26793
2509,Madison,TN,55537,99193
2510,Marion,TN,51590,29382
2511,Marshall,TN,50555,36961
2512,Maury,TN,57191,110760
2513,Meigs,TN,41017,13691
2514,Monroe,TN,44350,48594
2515,Montgomery,TN,52478,239872
2516,Moore,TN,51017,6748
2517,Morgan,TN,40237,21573
2518,Obion,TN,51945,30411
2519,Overton,TN,42000,23327
2520,Perry,TN,37048,8891
2521,Pickett,TN,42545,5128
2522,Polk,TN,42519,18033
2523,Putnam,TN,51132,83844
2524,Rhea,TN,45745,33924
2525,Roane,TN,53353,56096
