COUNTY_NAME,SCHOOL_NAME,Asian,Asian,Asian,Black,Black,Black,Hispanic,Hispanic,Hispanic,Multiracial,Multiracial,Multiracial,White,White,White,Paid meals,Paid meals,Paid meals,Free/Reduced price meals,Free/Reduced price meals,Free/Reduced price meals
Name,Name,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM
Adams,Adams Central Community Schools,,,,,,,***,***,***,***,***,***,72,29,45,66,24,38,10,4,6
Adams,North Adams Community Schools,***,***,***,***,***,***,14,2,4,***,***,***,126,17,29,107,14,28,44,4,5
Adams,South Adams Schools,***,***,***,***,***,***,***,***,***,***,***,***,71,11,13,60,12,13,23,0,1
Allen,MSD Southwest Allen County Schls,32,19,22,35,5,6,54,5,7,26,7,10,464,131,180,535,155,208,75,7,10
Allen,Northwest Allen County Schools,26,14,17,10,4,5,30,8,14,17,5,7,467,170,243,477,174,248,72,18,27
Allen,Fort Wayne Community Schools,138,12,26,382,5,43,312,9,32,140,6,19,688,92,170,780,86,177,882,31,89
Allen,East Allen County Schools,88,1,5,80,0,2,51,2,5,25,2,6,495,42,100,461,37,97,267,1,5
Batholomew,Bartholomew Con School Corp,39,29,36,17,3,4,127,11,28,22,2,3,586,132,230,589,162,264,204,10,27
Batholomew,Flat Rock-Hawcreek School Corp,,,,,,,***,***,***,***,***,***,65,11,16,54,9,13,14,1,3
Benton,Benton Community School Corp,,,,***,***,***,10,2,2,***,***,***,116,28,53,95,27,50,35,3,6
Blackford,Blackford County Schools,***,***,***,,,,***,***,***,***,***,***,98,0,0,64,0,0,42,0,0
Boone,Western Boone Co Com Sch Dist,***,***,***,,,,***,***,***,,,,109,33,51,85,29,44,28,6,9
Boone,Zionsville Community Schools,25,19,24,14,1,4,26,11,12,26,16,17,453,224,331,515,263,374,31,5,7
Boone,Lebanon Community School Corp,***,***,***,***,***,***,17,2,2,***,***,***,187,31,52,162,28,44,54,5,9
Brown,Brown County School Corporation,,,,,,,***,***,***,***,***,***,111,18,44,83,14,31,33,4,10
Carroll,Carroll Consolidated School Corp,,,,,,,***,***,***,,,,62,9,21,49,5,12,13,4,6
Carroll,Delphi Community School Corp,,,,***,***,***,11,0,1,***,***,***,83,12,28,56,8,24,41,4,5
Cass,Pioneer Regional School Corp,***,***,***,,,,***,***,***,***,***,***,67,9,14,41,8,12,33,3,5
Cass,Lewis Cass Schools ,***,***,***,,,,***,***,***,***,***,***,76,9,22,58,8,19,27,2,5
Cass,Logansport Community Sch Corp,***,***,***,***,***,***,122,8,13,***,***,***,119,10,18,137,11,20,126,9,12
Clark,Borden-Henryville School Corporation,***,***,***,***,***,***,***,***,***,***,***,***,99,1,9,87,1,9,20,0,0
Clark,Silver Creek School Corporation,***,***,***,***,***,***,16,0,3,***,***,***,148,29,67,145,24,63,31,3,8
Clark,Clarksville Community School Corp,***,***,***,17,0,0,20,0,0,12,0,0,132,0,0,123,0,0,57,0,0
Clark,Greater Clark County Schools,***,***,***,105,4,21,89,5,16,43,2,5,410,51,132,370,53,132,288,11,37
Clay,Clay Community Schools,***,***,***,***,***,***,***,***,***,***,***,***,228,11,33,175,11,31,64,1,3
Clinton,Clinton Central School Corporation,,,,,,,***,***,***,,,,60,5,13,49,2,9,14,0,2
Clinton,Clinton Prairie School Corporation,,,,,,,***,***,***,***,***,***,74,9,24,47,8,19,36,1,6
Clinton,Community Schools of Frankfort,,,,,,,109,1,22,***,***,***,96,7,33,76,4,20,132,3,28
Clinton,Rossville Con School District,,,,,,,***,***,***,***,***,***,70,6,38,64,6,37,***,***,***
Crawford,Crawford County Community Sch Corp,,,,,,,***,***,***,***,***,***,74,11,44,41,8,29,37,3,14
Daviess,Barr-Reeve Community Schools Inc,,,,,,,***,***,***,,,,55,7,10,45,4,6,11,3,3
Daviess,North Daviess Com Schools,,,,***,***,***,,,,***,***,***,53,0,0,39,0,1,17,0,0
Daviess,Washington Community Schools,***,***,***,***,***,***,35,1,5,***,***,***,100,22,41,73,19,34,70,7,14
Dearborn,Sunman-Dearborn Com Sch Corp,***,***,***,***,***,***,***,***,***,***,***,***,271,49,63,250,45,61,40,2,2
Dearborn,South Dearborn Community Sch Corp,,,,,,,***,***,***,***,***,***,136,0,0,107,0,0,33,0,0
Dearborn,Lawrenceburg Community School Corp,***,***,***,***,***,***,***,***,***,12,0,0,154,6,14,126,6,13,49,0,1
Decatur,Decatur County Community Schools,,,,,,,***,***,***,***,***,***,130,23,54,87,17,40,47,5,14
Decatur,Greensburg Community Schools,***,***,***,***,***,***,***,***,***,***,***,***,158,16,30,121,15,29,46,2,3
DeKalb,DeKalb Co Eastern Com Sch Dist,,,,***,***,***,***,***,***,,,,81,0,0,64,0,0,20,0,0
DeKalb,Garrett-Keyser-Butler Com Sch Corp,,,,***,***,***,***,***,***,***,***,***,133,0,0,100,0,0,49,1,1
DeKalb,DeKalb Co Ctl United Sch Dist,***,***,***,***,***,***,11,3,5,***,***,***,205,55,85,166,53,80,57,3,8
Delaware,Delaware Community School Corp,***,***,***,***,***,***,***,***,***,***,***,***,183,0,0,134,0,0,53,0,0
Delaware,Wes-Del Community Schools,***,***,***,,,,***,***,***,***,***,***,69,5,9,44,4,7,34,1,2
Delaware,Liberty-Perry Community Sch Corp,***,***,***,***,***,***,,,,***,***,***,75,3,29,50,4,20,31,0,8
Delaware,Cowan Community School Corp,***,***,***,,,,***,***,***,***,***,***,51,4,12,36,5,10,22,0,1
Delaware,Yorktown Community Schools,***,***,***,***,***,***,***,***,***,***,***,***,145,51,94,130,45,86,43,8,19
Delaware,Daleville Community Schools,,,,,,,***,***,***,***,***,***,53,5,7,39,5,6,18,0,1
Delaware,Muncie Community Schools,***,***,***,55,3,9,16,2,3,30,3,4,147,28,39,107,25,37,141,8,13
Dubois,Northeast Dubois Co Sch Corp,,,,,,,,,,***,***,***,68,10,27,58,8,24,11,1,2
Dubois,Southeast Dubois Co Sch Corp,,,,,,,***,***,***,***,***,***,93,8,21,87,7,19,13,1,1
Dubois,Southwest Dubois Co Sch Corp,,,,,,,21,1,2,***,***,***,75,8,18,67,9,19,30,0,1
Dubois,Greater Jasper Consolidated Schs,***,***,***,,,,41,3,10,***,***,***,207,68,114,196,65,110,58,7,14
Elkhart,Fairfield Community Schools,***,***,***,***,***,***,***,***,***,***,***,***,102,15,37,87,16,36,29,1,6
Elkhart,Baugo Community Schools,***,***,***,***,***,***,10,1,5,11,0,5,108,10,58,97,10,49,37,0,15
Elkhart,Concord Community Schools,***,***,***,32,2,5,132,9,23,17,1,3,140,28,61,207,28,63,115,9,19
Elkhart,Middlebury Community Schools,***,***,***,***,***,***,37,3,15,***,***,***,269,33,85,265,37,89,52,2,11
Elkhart,Wa-Nee Community Schools,***,***,***,***,***,***,15,3,5,***,***,***,168,25,36,157,27,37,37,1,3
Elkhart,Elkhart Community Schools,15,4,8,67,1,4,246,7,28,55,5,11,298,31,62,393,35,79,286,8,21
Elkhart,Goshen Community Schools,***,***,***,***,***,***,222,4,7,14,1,1,146,15,17,220,18,20,174,3,6
Fayette,Fayette County School Corporation,***,***,***,***,***,***,***,***,***,***,***,***,201,0,0,105,0,0,110,0,0
Floyd,New Albany-Floyd Co Con Sch,22,19,22,59,7,21,45,9,16,41,6,19,603,194,320,602,208,333,168,20,49
Fountain,Attica Consolidated School Corp,,,,***,***,***,***,***,***,***,***,***,34,0,6,26,0,5,16,0,2
Fountain,Covington Community School Corp,,,,,,,***,***,***,***,***,***,67,12,35,62,13,35,12,0,2
Fountain,Southeast Fountain School Corp,,,,,,,11,0,0,***,***,***,61,10,20,40,8,17,33,2,3
Franklin,Franklin County Community Sch Corp,***,***,***,,,,***,***,***,***,***,***,161,10,25,119,9,21,49,1,5
Fulton,Rochester Community School Corp,,,,,,,***,***,***,***,***,***,90,13,26,56,9,21,43,4,6
Fulton,Caston School Corporation,,,,,,,***,***,***,***,***,***,46,1,4,31,1,3,22,0,1
Gibson,East Gibson School Corporation,,,,,,,,,,***,***,***,49,9,13,28,8,10,21,1,3
Gibson,North Gibson School Corporation,***,***,***,***,***,***,***,***,***,10,0,4,92,5,27,76,4,24,36,0,2
Gibson,South Gibson School Corporation,***,***,***,,,,***,***,***,***,***,***,160,15,21,149,15,22,19,1,1
Grant,Eastbrook Community Sch Corp,,,,***,***,***,***,***,***,***,***,***,115,23,29,90,16,22,29,2,2
Grant,Madison-Grant United School Corp,,,,***,***,***,***,***,***,,,,77,1,2,51,2,4,31,0,0
Grant,Mississinewa Community School Corp,***,***,***,***,***,***,10,2,2,***,***,***,176,40,86,95,32,54,105,7,29
Grant,Marion Community Schools,***,***,***,65,1,10,22,0,3,27,0,2,121,10,26,99,9,25,137,4,15
Greene,Bloomfield School District,***,***,***,,,,***,***,***,***,***,***,49,0,12,35,0,8,18,0,5
Greene,Eastern Greene Schools,***,***,***,,,,***,***,***,***,***,***,59,12,32,40,13,26,24,1,6
Greene,Linton-Stockton School Corporation,,,,,,,***,***,***,***,***,***,93,6,35,71,6,31,24,0,4
Greene,MSD Shakamak Schools,,,,,,,,,,,,,28,3,9,23,3,8,***,***,***
Greene,White River Valley School District,***,***,***,***,***,***,***,***,***,***,***,***,56,7,19,27,4,13,39,4,11
Hamilton,Hamilton Southeastern Schools,115,64,84,147,26,41,132,34,53,82,28,42,1249,512,709,1482,610,846,234,40,66
Hamilton,Hamilton Heights School Corp,***,***,***,***,***,***,11,2,2,***,***,***,156,34,61,134,29,54,39,6,8
Hamilton,Westfield-Washington Schools,19,11,12,20,3,4,71,12,20,28,12,18,523,287,359,548,296,367,110,18,31
Hamilton,Sheridan Community Schools,,,,,,,***,***,***,***,***,***,72,14,35,53,12,25,23,2,9
Hamilton,Carmel Clay Schools,185,151,162,32,10,10,84,27,31,65,32,34,925,449,541,1180,648,749,117,19,24
Hamilton,Noblesville Schools,24,8,13,24,3,6,59,16,21,23,8,11,614,234,338,606,235,331,139,27,43
Hancock,Southern Hancock Co Com Sch Corp,***,***,***,,,,12,0,2,***,***,***,249,36,68,222,36,68,51,2,4
Hancock,Greenfield-Central Com Schools,***,***,***,***,***,***,***,***,***,***,***,***,278,57,107,222,48,94,75,7,11
Hancock,Mt Vernon Community School Corp,***,***,***,26,1,6,14,4,4,11,0,1,274,66,113,259,63,107,73,7,14
Hancock,Eastern Hancock Co Com Sch Corp,,,,,,,***,***,***,,,,90,6,35,77,6,32,17,0,3
Harrison,Lanesville Community School Corp,,,,,,,***,***,***,***,***,***,57,9,19,47,9,18,12,0,1
Harrison,North Harrison Com School Corp,***,***,***,***,***,***,***,***,***,***,***,***,179,7,21,122,6,19,64,1,2
Harrison,South Harrison Com Schools,,,,,,,***,***,***,12,1,2,182,13,18,138,12,17,61,2,2
Hendricks,North West Hendricks Schools,***,***,***,***,***,***,***,***,***,***,***,***,132,25,46,118,22,42,22,2,5
Hendricks,Brownsburg Community School Corp,32,19,23,88,17,31,52,16,21,37,8,11,484,177,235,531,196,267,162,29,41
Hendricks,Avon Community School Corp,44,20,31,135,20,46,93,28,44,39,14,17,467,215,275,573,245,312,206,42,79
Hendricks,Danville Community School Corp,***,***,***,***,***,***,***,***,***,***,***,***,167,39,68,158,37,64,19,2,4
Hendricks,Plainfield Community School Corp,16,6,7,23,2,4,22,5,7,15,3,5,338,103,127,334,108,131,79,8,16
Hendricks,Mill Creek Community Sch Corp,***,***,***,,,,***,***,***,***,***,***,111,26,40,101,24,36,18,2,3
Henry,Blue River Valley Schools,,,,,,,,,,***,***,***,33,1,7,27,1,7,***,***,***
Henry,South Henry School Corp,,,,,,,***,***,***,***,***,***,51,1,8,31,1,7,23,0,0
Henry,Shenandoah School Corporation,,,,***,***,***,***,***,***,***,***,***,85,0,0,75,0,0,18,0,0
Henry,New Castle Community School Corp,***,***,***,,,,***,***,***,***,***,***,171,16,38,122,14,32,61,2,7
Henry,C A Beard Memorial School Corp,,,,,,,,,,***,***,***,64,5,15,44,1,10,24,1,5
Howard,Taylor Community School Corp,,,,***,***,***,***,***,***,***,***,***,51,2,17,33,2,11,29,0,4
Howard,Northwestern School Corp,,,,***,***,***,10,0,0,***,***,***,125,25,38,110,17,29,30,5,5
Howard,Eastern Howard School Corporation,,,,,,,***,***,***,***,***,***,94,17,30,66,17,27,34,1,6
Howard,Western School Corporation,***,***,***,***,***,***,***,***,***,***,***,***,175,36,72,157,39,73,34,4,7
Howard,Kokomo School Corporation,10,1,1,48,1,9,34,1,5,31,2,10,191,20,62,188,18,58,125,6,23
Huntington,Huntington Co Com Sch Corp,***,***,***,,,,15,0,1,***,***,***,241,16,40,199,12,32,60,2,5
Jackson,Medora Community School Corp,,,,,,,,,,,,,***,***,***,***,***,***,***,***,***
Jackson,Seymour Community Schools,***,***,***,***,***,***,94,2,5,***,***,***,199,34,54,178,35,55,125,3,6
Jackson,Brownstown Cnt Com Sch Corp,,,,,,,***,***,***,***,***,***,120,7,22,102,7,22,20,0,0
Jackson,Crothersville Community Schools,***,***,***,,,,,,,***,***,***,16,0,0,11,0,0,***,***,***
Jasper,Kankakee Valley School Corp,***,***,***,***,***,***,27,0,3,***,***,***,208,11,33,157,10,30,82,1,5
Jasper,Rensselaer Central School Corp,***,***,***,,,,13,4,4,***,***,***,93,24,37,75,21,33,35,6,8
Jay,Jay School Corporation,,,,***,***,***,13,0,0,***,***,***,174,5,6,104,3,4,83,2,2
Jefferson,Madison Consolidated Schools,***,***,***,***,***,***,***,***,***,***,***,***,149,33,47,103,22,31,57,6,11
Jefferson,Southwestern-Jefferson Co Con,,,,***,***,***,***,***,***,***,***,***,78,5,9,50,4,6,35,1,2
Jennings,Jennings County School Corporation,,,,,,,***,***,***,***,***,***,210,30,66,136,26,58,85,3,8
Johnson,Clark-Pleasant Community Sch Corp,52,11,22,18,2,4,30,4,9,23,9,11,311,77,128,299,82,135,134,14,26
Johnson,Center Grove Community School Corp,34,18,25,24,1,1,30,7,11,18,5,6,508,119,202,515,138,220,95,10,17
Johnson,Edinburgh Community School Corp,,,,,,,***,***,***,,,,43,2,17,22,1,10,22,2,6
Johnson,Franklin Community School Corp,***,***,***,***,***,***,22,2,7,18,1,1,292,62,114,241,58,101,103,9,19
Johnson,Greenwood Community Sch Corp,***,***,***,***,***,***,17,1,2,13,1,2,222,33,53,191,33,52,71,1,3
Johnson,Nineveh-Hensley-Jackson United,,,,***,***,***,***,***,***,***,***,***,126,14,48,95,11,36,38,3,11
Knox,North Knox School Corp,,,,,,,***,***,***,***,***,***,78,0,7,51,0,7,30,0,0
Knox,South Knox School Corp,,,,,,,***,***,***,***,***,***,75,0,0,59,0,0,21,0,0
Knox,Vincennes Community School Corp,***,***,***,***,***,***,***,***,***,***,***,***,134,0,0,87,0,0,66,0,0
Kosciusko,Wawasee Community School Corp,***,***,***,***,***,***,19,2,4,11,3,4,155,31,64,127,28,53,64,8,18
Kosciusko,Warsaw Community Schools,***,***,***,***,***,***,102,10,16,19,2,5,362,58,114,331,48,103,164,12,20
Kosciusko,Tippecanoe Valley School Corp,***,***,***,,,,18,0,3,***,***,***,115,11,45,79,9,30,57,1,19
Whitley,Whitko Community School Corp,***,***,***,***,***,***,***,***,***,,,,101,19,36,80,19,34,25,0,3
LaGrange,Prairie Heights Community Sch Corp,***,***,***,,,,***,***,***,***,***,***,87,0,8,79,0,3,15,0,0
LaGrange,Westview School Corporation,***,***,***,,,,***,***,***,,,,76,16,30,64,15,26,17,0,2
LaGrange,Lakeland School Corporation,***,***,***,***,***,***,27,1,5,***,***,***,95,4,27,84,4,24,44,0,3
Lake,Hanover Community School Corp,***,***,***,***,***,***,23,5,6,***,***,***,128,24,59,137,28,62,21,1,2
Lake,River Forest Community Sch Corp,,,,10,1,2,44,2,14,***,***,***,52,3,19,50,1,13,64,4,21
Lake,Merrillville Community School Corp,***,***,***,310,10,33,93,5,11,20,5,5,50,11,18,202,23,45,276,7,20
Lake,Lake Central School Corporation,22,8,13,62,5,10,139,27,51,23,4,6,529,174,276,606,187,302,163,27,42
Lake,Tri-Creek School Corporation,***,***,***,***,***,***,21,4,13,***,***,***,207,41,95,194,42,100,47,5,10
Lake,Lake Ridge New Tech Schools,,,,50,0,1,24,0,6,***,***,***,40,1,11,14,0,0,108,0,0
Lake,Crown Point Community School Corp,21,10,14,20,4,6,108,28,50,19,7,11,556,215,315,587,235,339,137,17,35
Lake,School City of East Chicago,,,,63,0,11,97,7,26,***,***,***,***,***,***,45,2,9,119,5,23
Lake,Lake Station Community Schools,,,,***,***,***,39,0,8,***,***,***,36,0,3,33,0,1,55,0,8
Lake,Gary Community School Corp,,,,191,1,8,***,***,***,***,***,***,***,***,***,42,0,0,159,1,9
Lake,Griffith Public Schools,***,***,***,33,3,6,41,4,14,***,***,***,74,16,28,76,14,25,77,5,20
Lake,School City of Hammond,***,***,***,215,2,34,343,33,104,14,3,5,65,3,14,187,11,35,448,24,104
Lake,School Town of Highland,***,***,***,14,2,2,74,12,24,***,***,***,146,35,54,165,41,66,75,7,14
Lake,School City of Hobart,***,***,***,23,0,1,93,6,8,13,0,0,167,6,12,178,7,12,120,5,8
Lake,School Town of Munster,23,19,20,38,7,12,95,37,55,23,9,13,204,105,137,313,154,195,72,22,33
Lake,School City of Whiting,,,,***,***,***,77,18,38,***,***,***,14,6,7,44,10,20,55,4,14
LaPorte,New Prairie United School Corp,,,,***,***,***,17,1,2,12,2,5,207,43,90,170,36,71,69,6,18
LaPorte,MSD of New Durham Township,,,,***,***,***,***,***,***,***,***,***,54,4,13,47,3,14,20,1,1
LaPorte,Tri-Township Cons School Corp,,,,,,,***,***,***,,,,27,0,0,23,0,0,***,***,***
LaPorte,Michigan City Area Schools,***,***,***,102,0,25,31,3,12,19,1,4,120,20,66,86,12,40,190,9,57
LaPorte,South Central Com School Corp,***,***,***,,,,***,***,***,***,***,***,71,6,25,58,6,26,22,0,3
LaPorte,LaPorte Community School Corp,,,,17,0,3,62,9,16,13,4,7,292,81,139,230,70,119,152,18,33
Lawrence,North Lawrence Com Schools,***,***,***,,,,***,***,***,***,***,***,265,25,52,182,20,46,97,6,7
Lawrence,Mitchell Community Schools,***,***,***,,,,***,***,***,***,***,***,80,5,21,55,4,16,33,1,7
Madison,Frankton-Lapel Community Schools,***,***,***,***,***,***,***,***,***,***,***,***,221,12,40,178,11,36,64,2,8
Madison,South Madison Com Sch Corp,***,***,***,***,***,***,***,***,***,***,***,***,293,78,159,256,72,134,63,6,22
Madison,Alexandria Community School Corp,***,***,***,***,***,***,***,***,***,***,***,***,102,8,40,67,8,30,43,0,11
Madison,Anderson Community School Corp,***,***,***,85,1,6,51,0,3,18,1,3,164,8,29,133,9,27,186,2,13
Madison,Elwood Community School Corp,,,,,,,***,***,***,***,***,***,97,10,20,61,8,15,39,1,5
