COUNTY_NAME,SCHOOL_NAME,Asian,Asian,Asian,Black,Black,Black,Hispanic,Hispanic,Hispanic,Multiracial,Multiracial,Multiracial,White,White,White,Paid meals,Paid meals,Paid meals,Free/Reduced price meals,Free/Reduced price meals,Free/Reduced price meals
Marion,MSD Decatur Township,***,***,***,80,6,23,52,5,9,16,2,3,258,30,87,183,28,54,222,14,58
Marion,Franklin Township Com Sch Corp,82,20,37,58,6,10,72,10,19,52,14,16,461,141,220,464,151,224,259,30,58
Marion,MSD Lawrence Township,15,4,8,513,20,126,282,26,81,80,13,35,250,84,151,595,108,245,543,30,118
Marion,Perry Township Schools,283,39,112,88,3,8,186,16,30,38,3,9,488,89,153,463,92,155,618,48,132
Marion,MSD Pike Township,16,7,11,399,44,99,185,19,30,42,11,17,48,30,33,315,54,77,375,41,81
Marion,MSD Warren Township,***,***,***,395,11,45,135,7,28,61,6,10,161,25,45,352,27,61,403,15,48
Marion,MSD Washington Township,35,12,21,303,15,38,148,20,28,45,6,9,286,131,180,517,153,216,302,24,48
Marion,MSD Wayne Township,***,***,***,398,9,62,356,20,58,48,1,10,250,18,48,465,24,74,589,21,80
Marion,Beech Grove City Schools,,,,26,0,5,28,3,5,12,1,4,118,5,27,108,5,12,76,4,14
Marion,Indianapolis Public Schools,***,***,***,511,2,51,395,10,62,53,0,6,112,1,19,376,5,35,687,6,78
Marion,School Town of Speedway,12,4,9,30,5,20,23,9,15,***,***,***,51,26,47,71,23,48,49,13,32
Marshall,Culver Community Schools Corp,,,,,,,***,***,***,***,***,***,48,3,6,27,2,5,27,1,2
Marshall,Argos Community Schools,,,,,,,***,***,***,***,***,***,49,13,27,32,7,17,21,6,9
Marshall,Bremen Public Schools,,,,***,***,***,29,7,10,,,,106,5,9,96,9,14,40,2,4
Marshall,Plymouth Community School Corp,***,***,***,,,,66,18,21,***,***,***,172,48,62,151,41,54,96,19,21
Marshall,Triton School Corporation,***,***,***,,,,***,***,***,***,***,***,47,0,5,37,1,5,17,0,0
Martin,Shoals Community School Corp,,,,,,,***,***,***,***,***,***,49,1,12,26,1,8,24,0,5
Martin,Loogootee Community Sch Corp,***,***,***,,,,***,***,***,***,***,***,61,2,26,43,0,23,21,2,4
Miami,Maconaquah School Corp,,,,***,***,***,***,***,***,***,***,***,101,12,30,84,12,27,31,2,5
Miami,North Miami Community Schools,,,,,,,***,***,***,***,***,***,58,3,18,45,3,13,18,1,4
Grant,Oak Hill United School Corp,,,,***,***,***,***,***,***,***,***,***,104,23,36,87,20,29,32,3,7
Miami,Peru Community Schools,***,***,***,***,***,***,11,0,2,***,***,***,132,7,39,84,4,28,65,4,10
Monroe,Richland-Bean Blossom C S C,,,,***,***,***,***,***,***,***,***,***,161,50,80,137,49,73,41,7,14
Monroe,Monroe County Community Sch Corp,29,19,23,31,1,4,53,6,16,55,7,15,557,162,253,557,175,272,170,14,25
Montgomery,North Montgomery Com Sch Corp,***,***,***,,,,***,***,***,***,***,***,126,17,47,107,16,43,34,1,5
Montgomery,South Montgomery Com Sch Corp,,,,***,***,***,***,***,***,***,***,***,85,1,15,70,1,15,25,0,1
Montgomery,Crawfordsville Community Schools,***,***,***,***,***,***,32,7,11,***,***,***,118,20,51,89,22,48,70,5,18
Morgan,Monroe-Gregg School District,,,,***,***,***,***,***,***,***,***,***,107,18,34,91,15,25,24,3,7
Morgan,Eminence Community School Corp,,,,,,,***,***,***,***,***,***,24,1,1,12,1,1,14,0,0
Morgan,MSD Martinsville Schools,***,***,***,***,***,***,***,***,***,***,***,***,301,33,59,235,32,55,79,4,9
Morgan,Mooresville Con School Corp,***,***,***,***,***,***,***,***,***,***,***,***,301,69,161,244,62,139,79,12,23
Newton,North Newton School Corp,,,,,,,***,***,***,***,***,***,79,2,2,52,1,1,36,0,0
Newton,South Newton School Corp,,,,***,***,***,***,***,***,,,,43,6,14,23,4,10,24,2,5
Noble,Central Noble Com School Corp,,,,,,,***,***,***,***,***,***,95,5,36,70,5,29,28,0,7
Noble,East Noble School Corporation,***,***,***,***,***,***,16,1,7,***,***,***,182,32,77,152,33,71,55,3,14
Noble,West Noble School Corporation,,,,,,,94,0,0,***,***,***,68,0,0,97,0,0,65,0,0
Ohio,Rising Sun-Ohio Co Com,***,***,***,,,,***,***,***,,,,52,0,5,43,0,5,12,0,1
Orange,Orleans Community Schools,,,,,,,,,,,,,37,0,0,21,0,0,16,0,0
Orange,Paoli Community School Corp,,,,,,,***,***,***,***,***,***,94,12,19,55,10,14,44,2,5
Orange,Springs Valley Com School Corp,,,,***,***,***,***,***,***,***,***,***,40,0,0,30,0,0,19,0,0
Owen,Spencer-Owen Community Schools,***,***,***,,,,***,***,***,***,***,***,119,7,47,86,7,38,39,1,8
Parke,Southwest Parke Com Sch Corp,,,,***,***,***,***,***,***,***,***,***,72,0,0,47,0,0,30,0,0
Perry,Perry Central Com Schools Corp,,,,,,,***,***,***,***,***,***,77,7,34,58,7,29,22,0,4
Perry,Cannelton City Schools,,,,,,,***,***,***,,,,22,0,0,***,***,***,16,0,0
Perry,Tell City-Troy Twp School Corp,***,***,***,,,,***,***,***,***,***,***,98,16,50,76,16,44,32,0,5
Parke,North Central Parke Comm Schl Corp,,,,,,,***,***,***,***,***,***,66,8,20,35,6,10,34,2,9
Pike,Pike County School Corp,***,***,***,***,***,***,***,***,***,***,***,***,119,10,19,77,8,16,48,2,2
Porter,MSD Boone Township,***,***,***,***,***,***,11,1,3,***,***,***,61,7,19,57,10,21,20,0,3
Porter,Duneland School Corporation,***,***,***,12,0,2,63,7,15,20,7,10,420,104,163,401,106,172,119,11,13
Porter,East Porter County School Corp,***,***,***,***,***,***,19,0,4,***,***,***,157,33,76,155,31,72,28,1,7
Porter,Porter Township School Corp,,,,***,***,***,16,0,0,***,***,***,109,0,0,97,0,0,31,0,0
Porter,Union Township School Corp,***,***,***,***,***,***,10,1,1,***,***,***,104,16,25,88,17,26,33,2,2
Porter,Portage Township Schools,***,***,***,76,0,4,132,15,32,26,4,9,289,25,69,321,31,75,210,9,27
Porter,Valparaiso Community Schools,14,10,13,16,2,7,48,7,18,24,11,17,367,144,248,376,155,260,93,13,33
Posey,MSD Mount Vernon,,,,***,***,***,***,***,***,***,***,***,144,6,12,108,6,10,49,0,2
Posey,MSD North Posey Co Schools,***,***,***,***,***,***,***,***,***,***,***,***,111,14,50,98,15,51,21,0,3
Pulaski,Eastern Pulaski Community Sch Corp,,,,***,***,***,***,***,***,***,***,***,87,10,40,65,7,35,32,2,9
Pulaski,West Central School Corp,,,,,,,***,***,***,***,***,***,37,0,0,24,0,0,23,0,0
Putnam,South Putnam Community Schools,,,,***,***,***,***,***,***,,,,68,18,29,49,13,24,22,4,4
Putnam,North Putnam Community Schools,***,***,***,***,***,***,***,***,***,***,***,***,113,21,45,76,17,37,44,5,9
Putnam,Cloverdale Community Schools,,,,,,,***,***,***,***,***,***,68,3,17,35,3,13,41,1,7
Putnam,Greencastle Community School Corp,***,***,***,,,,***,***,***,***,***,***,96,20,34,67,17,28,35,5,8
Randolph,Union School Corporation,***,***,***,63,0,0,43,0,0,24,0,0,316,0,3,201,0,2,244,0,1
Randolph,Randolph Southern School Corp,,,,***,***,***,***,***,***,,,,36,3,10,30,3,8,***,***,***
Randolph,Monroe Central School Corp,,,,,,,***,***,***,***,***,***,93,1,3,66,1,3,29,0,0
Randolph,Randolph Central School Corp,,,,,,,***,***,***,,,,82,4,14,50,1,5,35,0,3
Randolph,Randolph Eastern School Corp,,,,***,***,***,13,0,0,***,***,***,49,1,1,40,1,1,25,0,0
Ripley,South Ripley Com Sch Corp,,,,,,,***,***,***,***,***,***,85,2,12,57,2,9,32,0,3
Ripley,Batesville Community School Corp,***,***,***,***,***,***,***,***,***,***,***,***,159,12,24,149,13,25,20,0,0
Ripley,Jac-Cen-Del Community Sch Corp,,,,,,,***,***,***,***,***,***,67,7,16,41,4,13,28,1,3
Ripley,Milan Community Schools,,,,,,,***,***,***,,,,55,5,25,31,3,17,25,2,5
Rush,Rush County Schools,,,,***,***,***,,,,***,***,***,138,12,15,79,9,12,61,3,3
St. Joseph,John Glenn School Corporation,***,***,***,,,,***,***,***,***,***,***,132,16,35,100,17,32,46,2,7
St. Joseph,Penn-Harris-Madison School Corp,51,34,39,40,2,5,49,7,9,38,6,13,618,132,202,617,163,233,147,8,12
St. Joseph,School City of Mishawaka,,,,30,0,3,19,1,3,21,1,2,218,31,85,154,21,61,135,10,26
St. Joseph,South Bend Community School Corp,19,6,9,271,4,29,235,8,39,91,6,13,326,63,108,494,66,120,445,14,49
St. Joseph,Union-North United School Corp,,,,***,***,***,,,,***,***,***,77,8,17,50,6,13,32,2,4
Scott,Scott County School District 1,,,,,,,,,,,,,57,0,0,30,0,0,27,0,0
Scott,Scott County School District 2,***,***,***,***,***,***,***,***,***,***,***,***,132,13,47,77,14,42,63,1,7
Shelby,Shelby Eastern Schools,,,,,,,***,***,***,,,,85,5,18,69,4,12,20,0,1
Shelby,Northwestern Con School Corp,,,,***,***,***,***,***,***,***,***,***,105,1,1,80,1,1,30,0,0
Shelby,Southwestern Con Sch Shelby Co,,,,,,,***,***,***,,,,35,6,21,30,6,20,***,***,***
Shelby,Shelbyville Central Schools,***,***,***,***,***,***,40,7,13,10,1,1,157,27,59,131,23,54,86,9,15
Spencer,North Spencer County Sch Corp,,,,,,,***,***,***,***,***,***,132,24,48,106,23,41,35,0,5
Spencer,South Spencer County Sch Corp,,,,,,,***,***,***,***,***,***,77,15,35,56,12,28,27,3,8
Starke,Oregon-Davis School Corp,,,,,,,***,***,***,,,,31,1,10,16,1,7,18,0,4
Starke,North Judson-San Pierre Sch Corp,,,,,,,***,***,***,,,,63,0,11,37,0,9,31,0,2
Starke,Knox Community School Corp,,,,***,***,***,***,***,***,***,***,***,126,2,5,68,1,3,65,1,3
Steuben,Fremont Community Schools,,,,,,,***,***,***,***,***,***,66,0,0,44,0,0,24,0,0
Steuben,Hamilton Community Schools,,,,,,,***,***,***,,,,24,2,3,14,1,1,11,0,0
Steuben,MSD Steuben County,***,***,***,***,***,***,19,2,7,***,***,***,138,32,81,121,31,72,42,4,16
Sullivan,Northeast School Corp,,,,***,***,***,,,,,,,51,0,5,27,0,3,26,0,2
Sullivan,Southwest School Corporation,***,***,***,***,***,***,***,***,***,***,***,***,97,16,35,55,14,27,46,2,8
Switzerland,Switzerland County School Corp,,,,***,***,***,***,***,***,***,***,***,90,0,6,58,0,5,35,0,1
Tippecanoe,Lafayette School Corporation,***,***,***,57,0,1,130,4,12,20,0,2,187,24,33,182,25,32,211,5,15
Tippecanoe,Tippecanoe School Corp,18,8,14,31,0,2,127,11,22,33,6,7,569,85,169,592,101,186,188,5,20
Tippecanoe,West Lafayette Com School Corp,45,37,40,***,***,***,***,***,***,12,7,7,115,68,84,167,108,126,17,5,5
Tipton,Tri-Central Community Schools,,,,,,,***,***,***,***,***,***,50,18,29,39,13,23,13,4,5
Tipton,Tipton Community School Corp,,,,,,,***,***,***,***,***,***,103,9,46,83,8,33,26,1,11
Union,Union Co/Clg Corner Joint Sch Dist,,,,,,,,,,***,***,***,78,6,20,50,6,15,31,0,5
Vanderburgh,Evansville Vanderburgh School Corp,17,8,11,170,3,38,78,11,24,130,11,29,916,187,330,839,175,307,485,30,84
Vermillion,North Vermillion Com Sch Corp,,,,,,,***,***,***,***,***,***,47,2,16,37,2,16,13,0,2
Vermillion,South Vermillion Com Sch Corp,***,***,***,,,,***,***,***,***,***,***,118,12,21,71,10,16,53,1,4
Vigo,Vigo County School Corp,25,13,22,36,3,4,27,5,14,48,4,11,649,113,211,522,119,206,263,14,39
Wabash,Manchester Community Schools,***,***,***,,,,***,***,***,***,***,***,100,22,41,77,18,33,31,3,5
Wabash,MSD Wabash County Schools,***,***,***,19,0,0,***,***,***,***,***,***,194,12,36,118,11,33,106,1,2
Wabash,Wabash City Schools,,,,,,,***,***,***,***,***,***,82,12,19,45,8,12,44,5,7
Warren,MSD Warren County,,,,,,,***,***,***,***,***,***,84,10,17,67,8,14,24,2,4
Warrick,Warrick County School Corp,10,5,7,12,2,4,16,0,3,30,3,5,636,158,271,558,152,256,145,8,23
Washington,Salem Community Schools,***,***,***,***,***,***,***,***,***,***,***,***,125,6,11,88,6,7,43,1,4
Washington,East Washington School Corp,,,,,,,***,***,***,***,***,***,84,11,16,63,12,17,27,0,0
Washington,West Washington School Corp,,,,,,,***,***,***,,,,48,0,7,***,***,***,45,0,3
Wayne,Nettle Creek School Corporation,,,,,,,,,,***,***,***,72,0,7,51,0,6,24,0,1
Wayne,Western Wayne Schools,,,,***,***,***,***,***,***,,,,62,10,28,40,7,22,25,3,4
Wayne,Centerville-Abington Com Schs,***,***,***,,,,***,***,***,***,***,***,84,13,20,70,12,16,24,3,6
Wayne,Northeastern Wayne Schools,,,,***,***,***,***,***,***,***,***,***,85,1,7,64,1,5,24,0,0
Wayne,Richmond Community Schools,***,***,***,18,1,5,26,6,8,31,2,6,170,34,69,106,27,51,148,18,41
Wells,Southern Wells Com Schools,,,,,,,***,***,***,,,,71,2,14,45,2,10,27,0,3
Wells,Norwell Community Schools,***,***,***,***,***,***,***,***,***,***,***,***,163,33,79,147,33,75,33,4,10
Wells,MSD Bluffton-Harrison,,,,***,***,***,***,***,***,***,***,***,104,6,13,77,6,11,35,1,2
White,North White School Corp,,,,,,,24,0,0,***,***,***,33,0,2,22,0,2,36,0,0
White,Frontier School Corporation,,,,,,,***,***,***,***,***,***,43,0,0,41,0,0,***,***,***
White,Tri-County School Corporation,,,,,,,***,***,***,,,,39,7,18,32,6,17,***,***,***
White,Twin Lakes School Corp,,,,***,***,***,15,3,6,***,***,***,114,20,48,73,16,38,64,7,15
Whitley,Smith-Green Community Schools,***,***,***,,,,***,***,***,***,***,***,88,2,19,76,2,18,15,1,2
Marion,Purdue Polytechnic High Sch North,,,,***,***,***,***,***,***,***,***,***,11,0,0,13,0,0,***,***,***
Monroe,Excel Center - Bloomington,,,,,,,,,,,,,***,***,***,,,,,,
Whitley,Whitley County Con Schools,***,***,***,,,,***,***,***,***,***,***,231,41,69,205,39,62,41,3,7
Marion,Dynamic Minds Academy,,,,,,,,,,,,,***,***,***,***,***,***,,,
Marion,James and Rosemary Phalen Leadership Academy High School,,,,27,0,0,***,***,***,***,***,***,,,,***,***,***,26,0,0
St. Joseph,Purdue Polytechnic High School South Bend,,,,,,,***,***,***,,,,,,,,,,***,***,***
Marion,GEO Next Generation Academy,,,,10,0,0,***,***,***,***,***,***,,,,***,***,***,***,***,***
Marion,Phalen Virtual Leadership Academy,,,,10,0,0,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Marion,Purdue Polytechnic High School Ind,,,,33,0,0,21,0,0,***,***,***,25,0,0,44,0,0,37,0,0
Marion,Indiana Connections Career Academy,***,***,***,18,0,0,***,***,***,10,0,0,105,0,0,96,0,0,45,0,0
Clark,Excel Center - Clarksville,,,,***,***,***,***,***,***,***,***,***,18,0,0,13,0,0,11,0,0
Lake,Excel Center - Hammond,,,,***,***,***,***,***,***,,,,,,,***,***,***,,,
Lake,Gary Middle College West,,,,,,,,,,***,***,***,,,,***,***,***,,,
Statewide,Indiana Department of Correction,,,,***,***,***,,,,,,,***,***,***,***,***,***,***,***,***
Statewide,Hoosier College and Career Academy,,,,20,0,0,15,0,0,***,***,***,81,0,0,80,0,0,43,0,0
Marion,Herron-Riverside High School,***,***,***,48,2,17,16,5,10,***,***,***,17,8,13,27,6,12,58,6,23
Delaware,Excel Center - Muncie,,,,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Lake,Excel Center - Gary ,,,,***,***,***,***,***,***,***,***,***,,,,,,,***,***,***
Wayne,Excel Center - Richmond,,,,,,,***,***,***,***,***,***,10,0,0,***,***,***,***,***,***
Vanderburgh,Signature School Inc,21,20,21,***,***,***,***,***,***,***,***,***,52,49,52,67,65,67,12,8,11
Floyd,Community Montessori Inc,,,,***,***,***,***,***,***,***,***,***,33,0,0,32,0,0,***,***,***
Hamilton,Options Charter Schools,,,,***,***,***,***,***,***,***,***,***,68,0,1,72,0,1,11,0,1
Marion,Irvington Community School,,,,10,0,0,***,***,***,***,***,***,25,2,13,19,2,6,28,0,9
Marion,Excel Center - West,,,,***,***,***,,,,,,,***,***,***,***,***,***,***,***,***
Tippecanoe,Excel Center - Lafayette,,,,***,***,***,12,0,0,***,***,***,25,0,0,15,0,0,24,0,0
Howard,Excel Center - Kokomo,,,,,,,***,***,***,***,***,***,25,0,0,10,0,0,19,0,0
Marion,Christel House Academy South,,,,***,***,***,23,0,0,***,***,***,10,0,0,***,***,***,32,0,0
Marion,Christel House DORS,***,***,***,19,0,0,***,***,***,,,,***,***,***,10,0,0,17,0,0
Marion,Charles A Tindley Accelerated Sch,,,,41,0,0,,,,***,***,***,,,,14,0,0,28,0,0
Lake,Thea Bowman Leadership Academy,,,,51,1,10,***,***,***,***,***,***,,,,23,0,0,31,0,0
Morgan,Indiana Agriculture and Technology,,,,,,,***,***,***,***,***,***,23,1,1,26,1,1,,,
Lake,Gary Lighthouse Charter School,,,,82,1,12,***,***,***,***,***,***,,,,,,,90,1,14
Elkhart,Excel Center - Elkhart,,,,***,***,***,***,***,***,,,,***,***,***,***,***,***,***,***,***
Lake,21st Century Charter Sch of Gary,,,,79,0,0,***,***,***,***,***,***,,,,17,0,0,68,0,0
Marion,Victory College Prep,,,,32,0,4,***,***,***,***,***,***,***,***,***,***,***,***,49,0,10
Delaware,Burris Laboratory School,,,,***,***,***,,,,***,***,***,34,15,27,33,14,26,10,2,5
Delaware,Indiana Academy for Sci Math Hmn ,13,8,10,***,***,***,***,***,***,***,***,***,62,30,37,74,36,44,23,3,4
Marion,Herron Charter,***,***,***,40,6,24,26,9,16,16,5,12,121,83,103,145,81,112,62,18,35
Marion,"The Hope Academy, Inc.",,,,,,,,,,,,,***,***,***,***,***,***,,,
Marion,Indianapolis Metropolitan High Sch,,,,22,0,0,***,***,***,***,***,***,***,***,***,12,0,0,21,0,0
Lake,Hammond Academy of Science & Tech,,,,***,***,***,41,2,4,***,***,***,***,***,***,17,0,1,37,2,4
Lake,Neighbors' New Vistas High School,,,,***,***,***,***,***,***,***,***,***,23,0,0,***,***,***,28,0,0
Madison,Excel Center - Anderson,,,,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Allen,Smith Academy for Excellence,,,,***,***,***,,,,,,,,,,***,***,***,***,***,***
Madison,Anderson Preparatory Academy,,,,***,***,***,12,0,3,***,***,***,16,0,3,17,0,3,20,0,2
Marion,Excel Center - University Heights,,,,,,,,,,***,***,***,***,***,***,***,***,***,,,
Hamilton,Excel Center - Noblesville,,,,***,***,***,***,***,***,,,,10,0,0,***,***,***,***,***,***
Clark,Rock Creek Community Academy,***,***,***,***,***,***,***,***,***,***,***,***,23,0,0,23,0,0,***,***,***
St. Joseph,Career Academy High School,***,***,***,21,0,0,***,***,***,***,***,***,47,0,0,39,0,0,41,0,0
Lake,Gary Middle College,,,,***,***,***,,,,,,,,,,***,***,***,***,***,***
Marion,IN Math & Science Academy - North,,,,17,0,5,12,0,0,***,***,***,***,***,***,14,0,3,18,0,3
St. Joseph,Excel Center - South Bend,,,,,,,***,***,***,,,,***,***,***,,,,***,***,***
Statewide,Indiana Connections Academy,15,2,2,34,0,0,46,0,0,36,0,0,531,1,2,447,3,4,189,0,0
Marion,Excel Center for Adult Learners,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,10,0,0
Sullivan,Dugger Union Community School Corp,,,,***,***,***,***,***,***,,,,35,0,13,18,0,6,21,0,2
Lake,Steel City Academy,,,,28,0,7,***,***,***,,,,,,,***,***,***,26,0,3
Monroe,Seven Oaks Classical School,,,,,,,,,,,,,11,2,8,11,2,6,,,
Shelby,Excel Center - Shelbyville,,,,,,,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***